50,109,328
111,67,17
606,607,69
58,110,603
41,35,1
62,243,399
75,28,94
58,4,665
180,535,38
15,35,520
537,94,187
291,352,28
21,40,384
260,424,151
2,144,101
9,60,35
25,435,37
25,88,101
242,6,1
520,620,126
493,3,22
86,126,29
126,36,9
144,361,99
86,277,4
544,35,56
48,155,34
505,916,50
291,354,65
110,66,49
6,675,52
32,44,4
98,583,298
225,116,45
155,61,157
89,57,31
458,172,143
11,200,24
708,40,53
26,155,9
742,506,322
73,110,13
4,420,66
2,210,34
300,775,108
5,96,15
97,25,37
114,66,22
189,221,176
50,15,445
439,278,193
6,32,46
354,169,16
392,40,74
561,100,763
19,467,310
662,846,607
527,895,17
51,435,37
1031,28,17
24,410,155
294,627,180
338,35,31
58,110,64
648,27,324
155,4,56
60,313,157
31,182,26
175,231,133
58,15,153
41,21,53
171,137,15
327,86,105
450,424,196
333,7,68
73,116,34
84,126,73
684,304,761
672,667,224
4,58,448
2,137,141
84,369,4
133,660,594
7,11,13
67,97,9
110,24,15
110,15,274
58,15,274
97,12,17
441,936,1098
89,116,45
66,116,28
9,292,17
131,225,56
75,2,34
60,185,22
116,535,1
870,871,68
278,246,151
359,67,29
15,4,786
76,122,4
31,15,260
77,201,91
11,12,446
197,26,56
36,9,118
734,735,516
127,66,324
851,629,91
66,2,108
116,309,602
464,33,12
90,105,23
2,35,43
35,152,176
412,36,17
4,3,13
16,58,70
7,334,17
1094,210,499
53,54,153
16,585,17
107,451,103
206,60,32
217,77,29
428,520,263
173,110,658
60,185,642
2,171,345
25,26,9
496,137,17
169,93,225
73,33,35
354,326,362
62,200,372
46,301,9
51,49,87
116,2,69
254,119,66
96,110,72
109,535,155
62,105,9
3,110,22
26,31,1
5,361,20
15,35,250
27,9,64
116,98,51
465,374,50
67,161,68
2,116,403
988,825,382
21,731,34
100,101,505
134,114,35
549,98,17
84,32,9
193,6,121
50,70,298
719,460,880
15,109,17
31,109,420
200,108,45
4,254,15
77,78,80
33,110,205
467,468,133
3,107,74
165,78,17
180,119,121
110,172,143
86,25,66
2,154,4
1052,993,41
386,63,172
36,542,157
40,186,148
107,292,278
107,359,34
3,172,80
55,3,449
162,90,13
84,60,504
108,6,250
122,171,1
130,249,38
546,822,108
542,172,17
268,289,142
156,157,9
718,66,4
205,377,415
110,253,28
390,439,514
28,32,275
21,788,129
182,16,147
2,6,3
108,58,4
331,35,1
323,489,215
35,206,258
146,55,4
34,90,357
483,1074,989
36,33,28
150,149,30
61,144,13
155,15,394
373,349,19
261,268,174
145,211,34
54,77,32
2,116,665
205,377,272
304,2,15
200,182,125
2,301,17
146,55,201
272,210,557
110,4,18
209,791,19
67,110,4
360,237,292
70,58,85
75,326,43
40,186,17
58,4,345
23,58,656
40,301,45
17,312,160
200,58,38
139,57,4
662,216,108
209,2,74
90,126,16
256,440,207
200,16,1
21,796,108
97,98,3
811,756,743
48,16,109
888,889,280
84,369,35
6,70,73
211,496,116
58,89,15
551,713,91
51,484,1209
21,212,123
5,166,38
40,66,376
52,33,108
253,110,334
2,97,38
15,109,646
97,66,69
109,35,4
209,2,116
48,35,87
35,48,52
11,144,130
25,171,176
67,141,245
14,19,126
28,66,565
149,150,738
46,152,51
35,225,191
654,319,362
6,66,49
155,108,15
110,4,91
116,59,32
412,113,64
556,690,174
400,68,9
146,789,1
192,21,28
76,15,85
28,114,50
252,159,74
252,298,231
93,467,222
40,239,217
114,126,65
272,97,45
9,114,50
499,304,239
31,15,85
304,21,18
3,219,267
304,48,250
90,27,34
208,684,239
225,526,77
472,557,9
171,26,1
21,12,37
58,155,125
49,200,82
110,805,105
115,25,38
31,35,102
49,225,4
31,35,414
70,155,166
283,284,863
369,7,75
369,67,35
21,192,116
152,31,620
25,26,17
516,40,0
493,473,65
33,392,68
3,764,17
33,88,49
31,109,155
374,349,34
550,551,180
172,138,50
49,206,467
25,69,38
228,25,174
57,2,129
70,50,45
96,16,15
40,220,374
350,424,73
597,440,53
162,34,22
218,687,240
84,2,91
445,21,77
98,169,183
49,35,616
126,172,17
16,98,3
152,105,166
21,142,18
67,3,45
240,241,291
116,46,1
35,2,502
854,337,17
542,62,17
58,31,283
84,28,397
313,86,91
247,255,132
184,323,9
6,120,56
108,209,27
16,154,45
77,86,17
304,25,483
113,290,13
219,110,129
76,116,15
107,359,4
519,770,767
2,155,310
21,66,184
975,114,116
668,66,4
233,166,116
334,112,17
261,289,158
24,89,31
62,15,9
16,108,679
551,550,131
28,67,36
78,25,24
425,362,938
84,126,247
48,105,45
7,126,66
62,116,121
75,9,108
172,7,34
161,189,35
33,44,376
67,934,34
370,520,584
318,814,25
184,323,38
146,77,73
27,28,50
511,312,355
228,229,73
34,66,643
46,31,80
67,253,13
2,414,889
46,23,1
269,76,66
225,583,15
110,24,165
16,62,287
252,691,122
165,77,17
166,180,17
392,40,68
155,16,82
684,898,187
40,292,17
25,4,56
511,312,444
28,32,61
304,116,70
495,200,67
58,409,17
19,93,45
40,107,201
36,32,205
618,326,17
21,71,80
452,685,91
201,399,155
289,425,653
317,199,43
2,232,157
186,746,203
36,7,105
28,33,113
227,2,1
354,7,375
138,275,691
40,3,68
38,394,17
35,31,50
537,93,41
3,28,49
412,136,0
28,84,69
155,197,56
89,248,45
70,35,31
213,265,118
565,3,75
11,33,375
180,25,45
21,110,19
199,531,12
33,106,22
86,110,14
292,169,16
113,290,25
36,67,148
199,510,34
300,775,43
109,50,56
138,232,34
5,274,282
66,7,22
934,788,73
105,49,166
36,938,17
208,684,126
70,6,166
44,9,46
317,77,17
21,60,91
161,67,129
226,62,303
212,112,17
32,4,2
2,16,203
7,304,68
25,155,9
21,121,29
40,154,32
67,201,17
15,361,17
298,51,116
169,537,41
373,349,27
46,155,153
152,155,1
49,31,22
354,198,13
374,30,19
110,152,283
212,67,170
161,565,129
38,66,17
52,16,38
75,28,108
66,40,62
268,405,187
146,789,4
115,76,99
89,40,73
9,121,13
67,172,32
16,346,17
354,2,36
2,51,36
419,284,904
25,270,153
6,368,16
25,58,45
110,7,68
76,108,20
171,730,9
66,126,766
16,5,66
618,161,116
815,547,43
21,445,298
882,40,199
354,57,30
35,41,388
254,25,3
161,21,13
839,347,1008
66,326,13
28,2,329
62,15,166
110,15,786
172,66,468
152,6,26
33,9,34
2,46,52
97,3,49
32,190,103
